City,Metric,January,February,March,April,May,June,July,August,September,October,November,December
YALOVA,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","91,8","72,7","73,2","51,9","39,0","41,1","24,6","31,2","53,6","82,5","81,5","112,8"
YALOVA,,Ölçüm Periyodu ( 1931 - 2023)
YALOVA,En Yüksek Sıcaklık (°C),"25,9","27,2","32,0","36,5","37,0","42,1","39,2","40,2","37,5","36,6","32,8","27,4"
YALOVA,En Düşük Sıcaklık (°C),"-9,6","-11,0","-7,4","-1,6","1,2","7,1","10,0","10,3","6,0","1,3","-3,2","-9,2"
YALOVA,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
YOZGAT,Ortalama Sıcaklık (°C),"-1,7","-0,6","3,0","8,5","13,1","16,7","19,6","19,8","15,9","10,8","5,1","0,7"
YOZGAT,Ortalama En Yüksek Sıcaklık (°C),"2,2","3,7","8,1","14,0","18,9","22,7","26,0","26,5","22,7","17,0","10,4","4,6"
YOZGAT,Ortalama En Düşük Sıcaklık (°C),"-5,3","-4,6","-1,5","3,2","7,4","10,5","12,9","13,1","9,5","5,4","0,7","-2,6"
YOZGAT,Ortalama Güneşlenme Süresi (saat),"3,0","4,1","5,1","6,3","7,9","9,7","10,8","10,5","8,8","6,5","4,7","3,0"
YOZGAT,Ortalama Yağışlı Gün Sayısı,"13,51","12,70","13,48","12,81","13,46","9,24","2,99","2,30","3,87","7,19","8,91","13,29"
YOZGAT,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","68,0","59,5","69,4","58,3","66,0","45,9","12,5","11,2","18,1","33,2","54,0","75,3"
YOZGAT,,Ölçüm Periyodu ( 1929 - 2023)
YOZGAT,En Yüksek Sıcaklık (°C),"15,4","18,5","25,0","29,5","31,4","33,4","38,8","37,4","35,4","30,1","22,9","18,2"
YOZGAT,En Düşük Sıcaklık (°C),"-23,7","-24,4","-20,6","-12,6","-3,0","-0,4","3,0","3,7","-2,4","-6,8","-18,5","-20,2"
YOZGAT,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
ZONGULDAK,Ortalama Sıcaklık (°C),"6,2","6,4","7,5","11,3","15,4","19,6","21,9","22,0","19,0","15,4","11,9","8,5"
ZONGULDAK,Ortalama En Yüksek Sıcaklık (°C),"9,3","9,6","10,9","14,9","18,9","23,1","25,2","25,4","22,5","18,8","15,3","11,7"
ZONGULDAK,Ortalama En Düşük Sıcaklık (°C),"3,6","3,5","4,6","8,1","12,2","16,0","18,1","18,3","15,5","12,3","8,9","5,8"
ZONGULDAK,Ortalama Güneşlenme Süresi (saat),"2,3","2,8","3,8","5,2","6,8","9,0","9,9","9,1","7,2","4,9","3,4","2,4"
ZONGULDAK,Ortalama Yağışlı Gün Sayısı,"18,06","15,84","15,27","12,20","10,91","8,79","6,65","6,86","8,44","12,34","13,71","17,44"
ZONGULDAK,"Aylık Toplam Yağış Miktarı Ortalaması
                  (mm)","139,4","99,7","98,6","65,1","54,5","75,2","69,6","82,7","102,3","144,3","142,6","154,1"
ZONGULDAK,,Ölçüm Periyodu ( 1939 - 2023)
ZONGULDAK,En Yüksek Sıcaklık (°C),"24,1","26,7","31,7","33,6","36,7","40,5","39,5","39,8","36,2","35,9","30,9","28,1"
ZONGULDAK,En Düşük Sıcaklık (°C),"-7,7","-8,0","-6,4","-2,1","3,0","8,8","11,2","10,0","5,9","1,8","-3,2","-7,4"
ZONGULDAK,En yüksek ve en düşük sıcaklıkların gerçekleşme tarihini görmek için fare imlecini değerlerin üstüne getiriniz.
